player_id,player,player_role,key_cricinfo,role,final_role
33742f04,Usman Qadir,Unclassified,348152,Bowler,Bowler
33a50ecf,RL Powell,Batter,52681,Batter,Batter
33b3d2df,GJ Delany,Batter,1099379,Batting Allrounder,Batting Allrounder
33cb3411,Younis Khan,Batter,43652,Middle order Batter,Batter
33f28243,Naved-ul-Hasan,Bowler,42272,Bowler,Bowler
340db614,A Maregwede,Batter,55573,,Batter
342d8ade,CRD Fernando,Bowler,48835,Bowler,Bowler
34464143,Zeeshan Maqsood,Batter,585083,Opening Batter,Batter
3473e5f2,DS Weerakkody,Batter,499592,Wicketkeeper Batter,Batter
348195ea,GW Flower,Batter,55429,Allrounder,Allrounder
34b332d3,DC Drakes,Bowler,906749,Bowling Allrounder,Bowling Allrounder
34c823b0,D Keulder,Batter,24796,,Batter
34cb2f69,Hamza Tahir,Bowler,751151,Bowler,Bowler
34d2ca48,LP van Troost,Batter,24969,,Batter
34ff9e07,PA de Silva,All-Rounder,48462,Batting Allrounder,Batting Allrounder
350bb1b1,AF Milne,Unclassified,450860,Bowler,Bowler
35205dfc,DR Smith,Batter,53118,Allrounder,Allrounder
3560a786,C Madande,Batter,1045883,Wicketkeeper Batter,Batter
3576e47e,S Badrinath,Batter,26806,Middle order Batter,Batter
35971419,Waqas Khan,Batter,633426,Batter,Batter
359e430a,DCC Borden,Bowler,23756,Batter,Batter
35aa26af,A Flower,Batter,55427,Top order Batter,Batter
35f4cf7e,Kamran Ghulam,Batter,623636,Allrounder,Allrounder
364ee2cf,SJ Benn,Unclassified,51248,Bowler,Bowler
365229a8,K Doriga,Batter,646173,Wicketkeeper Batter,Batter
3674b3c1,K Phillip,Unclassified,1150684,Bowler,Bowler
36d33dd0,RR Sarwan,Batter,52969,Batter,Batter
36fc8d18,GM Ewing,Bowler,55419,,Bowler
3703d634,S Weerakoon,Unclassified,50914,Bowler,Bowler
37137c8b,BV Vitori,Unclassified,235514,Bowler,Bowler
37138918,Afif Hossain,Batter,935995,Allrounder,Allrounder
372455c4,Q de Kock,Batter,379143,Wicketkeeper Batter,Batter
37312a74,Mudassar Bukhari,Bowler,245166,Allrounder,Allrounder
374bb5e7,K Klein,Bowler,1195670,Bowler,Bowler
37654b75,Nasum Ahmed,Unclassified,348049,Bowling Allrounder,Bowling Allrounder
3766056b,BJ McCarthy,Bowler,348059,Bowler,Bowler
37b67a54,MDJ Walker,Unclassified,38760,,Unclassified
37f501d7,HH Streak,Unclassified,55761,Allrounder,Allrounder
3812d56b,MH Yardy,Batter,23523,Allrounder,Allrounder
38214163,M Faraz Akram,Bowler,1122851,Allrounder,Allrounder
383dd431,TD Astle,All-Rounder,213674,Bowler,Bowler
3847ec84,JI de Villiers,Unclassified,948659,,Unclassified
39086549,JR Philippe,Batter,1124282,Wicketkeeper Batter,Batter
390ff45b,Abdul Razzaq,All-Rounder,39836,Allrounder,Allrounder
395179e8,D Parashar,All-Rounder,1294144,Allrounder,Allrounder
3967930c,RL Johnson,Bowler,15522,,Bowler
39713d08,Mohammad Boota,Batter,1125867,Middle order Batter,Batter
3979b5e0,L Tucker,Batter,928057,Wicketkeeper Batter,Batter
397f4d3a,BM Wheeler,Unclassified,440523,Bowler,Bowler
39ef812b,S Keshvani,Unclassified,23879,Middle order Batter,Batter
39f01cdb,KP Pietersen,Batter,19296,Top order Batter,Batter
3a026eb4,Rizwan Cheema,Bowler,361952,Top order Batter,Batter
3a0f6df2,Zulfiqar Babar,Unclassified,43871,Bowler,Bowler
3a60e0b5,WD Parnell,Bowler,265564,Bowler,Bowler
3a7ea906,VJ Kingma,Bowler,416103,Bowler,Bowler
3a9adcce,CJ Smith,Batter,23691,Batter,Batter
3abe1ef6,A Ndlovu,Bowler,596456,Bowler,Bowler
3b041a12,Tamim Iqbal,Batter,56194,Opening Batter,Batter
3b417422,T Panyangara,Unclassified,55705,Bowler,Bowler
3b50c63a,KS Lokuarachchi,Bowler,49557,Bowling Allrounder,Bowling Allrounder
3b53243a,XC Bartlett,Bowler,1050545,Bowler,Bowler
