player_id,player,player_role,key_cricinfo
26e5cabf,MK Tiwary,All-Rounder,35565.0
26f12506,CT Mutombodzi,Batter,333001.0
26ff4c29,RJ Peterson,Batter,46750.0
270b3f8e,JK Kamande,Batter,24697.0
270bf7e2,KV Morea,Bowler,524255.0
27159c6a,RM Haq,Bowler,25451.0
271f83cd,SA Yadav,Batter,446507.0
27258b3e,ML Patel,Batter,24784.0
27410b17,PW Gunaratne,Unclassified,49043.0
2764133a,L Vincent,Batter,38714.0
279c51f0,Aakash Chand,Bowler,1185557.0
27b8d7b6,K Birkenstock,Batter,1057456.0
27cc4361,PJ Ongondo,Bowler,24762.0
27d1cc51,PA Hitchcock,Unclassified,37263.0
28131839,MA Leask,All-Rounder,414966.0
28392e11,Zaman Khan,Unclassified,1272475.0
28496266,CT Mumba,Unclassified,672775.0
28c7d721,S Bhari,Bowler,633525.0
28ed9134,S Thuraisingam,Bowler,23856.0
290cba17,SJ Modani,Batter,1276393.0
2911de16,Hasan Ali,Bowler,681305.0
2957a836,GJP Kruger,Unclassified,45888.0
29b89ae8,WB Rankin,Bowler,24599.0
29e253dd,Iftikhar Ahmed,Batter,480603.0
29e95537,AM Rahane,Batter,277916.0
2a04400b,Sabir Ali,Bowler,1328438.0
2a242d58,Simandeep Singh,Batter,633410.0
2a2e6343,DT Christian,Bowler,4864.0
2a731841,Tareq Aziz,Unclassified,56188.0
2a9eee66,Vikramjit Singh,Batter,1153767.0
2af838ee,N Pradeep,Unclassified,324358.0
2b30ca91,MR Johnson,Batter,25877.0
2b6e6dec,AC Gilchrist,Batter,5390.0
2b76eb00,AS Luseno,Unclassified,24703.0
2b8b75a0,H Osinde,Bowler,212175.0
2b944fb7,JS Ababu,Unclassified,24768.0
2bb09eb2,Mohammad Ashraful,Batter,55988.0
2be41edb,MJ Guptill,Batter,226492.0
2c13defe,TM Odoyo,All-Rounder,24705.0
2c54c49b,MJ Humphreys,Unclassified,1263361.0
2c997ad3,KMC Bandara,Unclassified,362079.0
2cc08c3c,Shahid Wasif,Unclassified,919489.0
2cccba8f,Sanwar Hossain,Batter,56107.0
2cdce1be,C Sakariya,Unclassified,1131754.0
2cfa6534,Manjural Islam,Unclassified,55968.0
2cffab74,Mukesh Kumar,Unclassified,926851.0
2d03c3f8,C Cassell,Bowler,1444192.0
2d4465da,SG Whittingham,Bowler,627732.0
2d783277,I Maraj,Batter,23846.0
2e0fcc58,AG Wharf,Bowler,22380.0
2e11c706,BCJ Cutting,Unclassified,230371.0
2e171977,AR Patel,Bowler,554691.0
2e2fe3e8,DP Hyatt,Batter,52197.0
2e78f685,KR Sen,Unclassified,1163695.0
2e81a32d,B Kumar,Bowler,326016.0
2e8994e7,JP Duminy,Batter,44932.0
2e929b99,GO Jones,Batter,15501.0
2e9fdf9b,DAJ Bracewell,Bowler,362541.0
2ecd844a,BJ Currie,Bowler,1000791.0
2ed569a0,RD Chahar,Unclassified,1064812.0
2eece016,RN Bhatia,Unclassified,1156689.0
2ef4f045,ME Sanuth,Batter,378457.0
2f0d7e4a,RW Chakabva,Batter,293831.0
2f26ac1a,Mohammad Rizwan,Batter,323389.0
2f28dc94,RAS Lakmal,Bowler,49619.0
2f49c897,Mohammed Siraj,Bowler,940973.0
2f8a9682,RS Morton,Batter,52445.0
2f9d0389,LH Ferguson,Bowler,493773.0
2fdd16fe,RG Aga,Batter,24716.0
2feb5b8d,Akhil Kumar,Bowler,1193293.0
3029e282,Umar Amin,Batter,288211.0
304c9c2e,RO Hurley,Unclassified,52076.0
3086f7a4,Mohammad Nawaz,Unclassified,348148.0
30a45b23,SPD Smith,Batter,267192.0
30b60511,LHD Dilhara,Bowler,48487.0
314642ed,K Sinclair,Bowler,1206110.0
3165bc1b,Krishna Chandran,Batter,290645.0
31803fac,Abu Hider,Unclassified,550137.0
3185266a,DLS van Bunge,Batter,24964.0
31ca7a9c,Ethan D'Souza,Batter,1345983.0
31ce61ab,BA Murphy,Bowler,55610.0
31e31116,SJ Swanepoel,Batter,24846.0
31fbf891,H Masakadza,Batter,55608.0
3204c99f,G Coetzee,Bowler,596010.0
32198ae0,MC Henriques,Batter,5961.0
321be7e3,A Ashok,Unclassified,1193546.0
3227beb4,IJ Harvey,Bowler,5597.0
323e4c16,HDPK Dharmasena,Unclassified,48469.0
3241e3fd,N Pooran,Batter,604302.0
327b58d3,PVD Chameera,Unclassified,552152.0
32a8161e,JW Jenner,Batter,526462.0
3300d23c,SF Mire,Batter,290462.0
33085ffb,D Elgar,Batter,230852.0
33155d1b,IR Bell,Batter,9062.0
331bd689,MA Suji,Unclassified,24725.0
331ea488,UT Khawaja,Batter,215155.0
3355b542,F du Plessis,Batter,44828.0
33609a8c,Saim Ayub,Batter,1161031.0
33742f04,Usman Qadir,Unclassified,348152.0
33a50ecf,RL Powell,Batter,52681.0
33b3d2df,GJ Delany,Batter,1099379.0
33cb3411,Younis Khan,Batter,43652.0
